,Spleen_NK_1,Spleen_NK_2,Spleen_NK_3,Spleen_NK_4,Spleen_NK_5,Spleen_ILC1_1,Spleen_ILC1_2,Spleen_ILC1_3
Slc41a2,2126,2063,1209,1521,1494,170,175,216
Slc41a3,435,477,287,345,348,642,446,551
Slc43a1,32,23,0,4,2,1897,1602,1650
Slc43a2,1221,1149,1350,1417,1309,2721,1687,2021
Slc43a3,485,365,197,160,164,1606,1122,978
Slc44a1,1252,1197,710,861,654,97,135,193
Slc44a2,27320,23275,19403,20831,20110,20652,14136,17030
Slc44a3,0,0,3,0,0,0,0,0
Slc44a4,1,1,0,0,2,0,5,0
Slc44a5,27,38,27,22,23,3,0,0
Slc45a1,1,0,0,4,1,0,1,0
Slc45a2,0,0,0,0,0,0,0,0
Slc45a3,81,58,0,1,3,17,40,18
Slc45a4,1070,1102,963,1124,1108,357,295,311
Slc46a1,13,6,10,6,7,38,19,20
Slc46a2,1,11,4,4,0,6,0,2
Slc46a3,2270,1827,880,771,938,1501,940,1165
Slc47a1,0,1,0,0,0,0,1,0
Slc47a2,0,0,0,0,0,0,0,0
Slc48a1,3947,3428,1742,1809,1809,2129,3156,3497
Slc4a1,95,117,0,1,0,28555,24551,22167
Slc4a10,1,6,4,4,13,3,0,0
Slc4a11,0,5,10,4,2,16,0,0
Slc4a1ap,1916,2449,1277,1387,1506,1793,1263,1591
Slc4a2,2636,2588,2176,2521,2221,2618,1961,2178
Slc4a3,6,9,10,5,26,4,0,4
Slc4a4,11,11,2,4,7,0,0,0
Slc4a5,0,0,1,0,2,0,7,0
Slc4a7,2223,2743,1419,1878,2216,1620,2385,3042
Slc4a8,131,108,72,87,81,163,79,144
Slc4a9,0,0,0,1,0,0,0,0
Slc50a1,7484,6548,2888,3135,3088,4110,2821,3402
Slc51a,0,4,1,0,0,1,0,1
Slc51b,0,2,0,1,5,1,0,0
Slc52a2,1643,1341,872,935,893,1731,952,1321
Slc52a3,726,759,666,669,479,815,580,710
Slc5a1,0,5,0,0,1,1,0,0
Slc5a10,0,1,1,2,2,1,0,2
Slc5a11,168,142,85,84,84,188,151,175
Slc5a12,0,0,0,0,3,0,0,0
Slc5a2,2,2,0,3,4,1,4,5
Slc5a3,511,488,352,541,711,367,249,300
Slc5a4a,0,1,0,0,0,0,0,0
Slc5a4b,0,1,0,1,0,0,0,0
Slc5a5,2,0,0,0,4,0,0,2
Slc5a6,593,478,156,337,369,452,325,324
Slc5a7,0,0,0,0,0,0,0,0
Slc5a8,1,0,0,0,0,0,0,0
Slc5a9,0,0,0,1,0,0,0,0
Slc6a1,5,3,1,0,0,1,6,0
Slc6a11,0,2,0,0,3,0,0,0
Slc6a12,1,13,0,0,0,44,30,13
Slc6a13,15,6,1,3,2,174,106,98
Slc6a14,0,1,0,0,0,0,0,0
Slc6a15,0,2,2,0,1,0,0,0
Slc6a16,0,0,0,0,0,0,0,0
Slc6a17,0,3,0,0,5,0,0,0
Slc6a18,0,0,0,0,0,0,0,0
Slc6a19,0,1,0,0,0,7,1,2
Slc6a19os,0,0,0,0,0,0,0,0
Slc6a2,0,1,0,1,1,0,0,0
Slc6a20a,7,1,0,0,4,146,74,89
Slc6a20b,10,21,13,18,24,7,3,18
Slc6a21,0,1,0,1,1,0,0,0
Slc6a3,0,0,0,1,0,0,0,0
Slc6a4,35,44,0,0,4,4,6,3
Slc6a5,0,3,1,0,0,0,0,0
Slc6a6,1887,1649,1655,2033,1752,1195,2287,2596
Slc6a7,0,0,0,2,2,0,0,0
Slc6a8,8,6,1,11,5,6,10,21
Slc6a9,3,5,0,3,0,462,351,271
Slc7a1,511,545,719,786,738,979,627,730
Slc7a10,0,0,0,0,0,0,0,0
Slc7a11,10,26,0,1,16,87,57,84
Slc7a12,0,0,0,0,2,0,0,0
Slc7a13,0,2,0,1,3,0,0,0
Slc7a14,1,1,0,0,11,0,0,0
Slc7a15,0,0,0,0,0,0,0,0
Slc7a2,15,21,1,4,10,31,5,15
Slc7a3,17,12,0,18,13,7,3,0
Slc7a4,40,11,0,11,7,43,52,35
Slc7a5,360,289,424,578,450,111,1020,833
Slc7a6,1582,1028,417,663,526,908,602,833
Slc7a6os,1689,1961,1243,1396,1126,900,915,1127
Slc7a7,130,87,60,46,62,203,97,143
Slc7a8,36,37,0,7,15,193,84,77
Slc7a9,0,0,0,0,0,0,0,0
Slc8a1,35,32,0,4,2,7,16,15
Slc8a2,0,1,0,0,0,0,0,0
Slc8a3,0,1,0,0,0,0,0,0
